project,noOfBedRoom,rental_rent,mean_areaSqft
# 1 LOFT,1,3125.0,550.0
# 1 SUITES,1,3575.0,550.0
1 CANBERRA,3,4200.0,1000.0
1 KING ALBERT PARK,2,4450.0,1150.0
1 MOULMEIN RISE,3,6433.333333333333,1250.0
10 SHELFORD,1,3250.0,450.0
11 AMBER ROAD,3,5500.0,1450.0
111 EMERALD HILL,3,14500.0,2150.0
111 EMERALD HILL,4,15000.0,2450.0
120 GRANGE,1,4392.75,450.0
120 GRANGE,2,4860.0,550.0
16 @ AMBER,1,3000.0,450.0
18 WOODSVILLE,1,3300.0,450.0
18 WOODSVILLE,3,5100.0,950.0
183 LONGHAUS,2,3700.0,750.0
1919,2,5500.0,850.0
2 RVG,2,5400.0,950.0
21 RICHARDS,2,4000.0,650.0
24 ONE RESIDENCES,2,4100.0,450.0
26 NEWTON,1,3562.5,550.0
26 NEWTON,2,4200.0,550.0
28 RC SUITES,1,2900.0,450.0
3 ORCHARD BY-THE-PARK,4,19500.0,2250.0
336 RIVER VALLEY,2,6000.0,1550.0
368 THOMSON,2,4687.5,850.0
368 THOMSON,4,7575.0,1750.0
38 I SUITES,1,2850.0,450.0
38 I SUITES,2,3800.0,650.0
38 JERVOIS,1,5200.0,450.0
38 JERVOIS,3,5200.0,850.0
6 DERBYSHIRE,1,3500.0,550.0
6 DERBYSHIRE,3,6100.0,1050.0
7 ON CHAPEL,2,4800.0,750.0
70@TRURO,3,4180.0,850.0
76 SHENTON,1,4739.0,600.0
76 SHENTON,2,5875.0,950.0
8 @ MOUNT SOPHIA,1,4850.0,850.0
8 @ MOUNT SOPHIA,2,5933.333333333333,1150.0
8 @ MOUNT SOPHIA,3,8500.0,1550.0
8 BASSEIN,1,3030.0,450.0
8 FARRER SUITES,2,1800.0,550.0
8 NAPIER,3,16512.5,2050.0
8 NAPIER,4,23000.0,>3000
8 RODYK,2,7500.0,1250.0
8 SAINT THOMAS,1,4300.0,450.0
8 SAINT THOMAS,2,9000.0,850.0
8 SAINT THOMAS,3,9587.5,1350.0
8@WOODLEIGH,2,4375.0,850.0
8@WOODLEIGH,3,5725.0,1050.0
8M RESIDENCES,1,3450.0,550.0
A TREASURE TROVE,2,3750.0,816.6666666666666
A TREASURE TROVE,3,4400.0,1116.6666666666667
A TREASURE TROVE,4,4400.0,1350.0
AALTO,3,6000.0,1550.0
AALTO,4,9200.0,1950.0
ADAM PARK CONDOMINIUM,2,4200.0,1150.0
ADAM PARK CONDOMINIUM,3,5333.333333333333,1250.0
ADAM PARK CONDOMINIUM,4,6000.0,1450.0
ADRIA,1,3700.0,550.0
ADRIA,2,4050.0,650.0
ADRIA,3,6500.0,1250.0
AIRSTREAM,1,2800.0,450.0
ALESSANDREA,3,4775.0,1050.0
ALEX RESIDENCES,1,3832.5,475.0
ALEX RESIDENCES,2,5324.0,650.0
ALEX RESIDENCES,3,6550.0,983.3333333333334
ALEXIS,1,3208.3333333333335,375.0
ALEXIS,2,3870.0,730.0
ALLSWORTH PARK,2,4200.0,1050.0
ALTEZ,1,5262.5,662.5
ALTEZ,2,8460.0,1130.0
ALTEZ,3,9900.0,1650.0
AMANINDA,1,3500.0,650.0
AMARANDA GARDENS,3,5270.0,1230.0
AMARANDA GARDENS,4,7000.0,1450.0
AMARYLLIS VILLE,1,3950.0,650.0
AMARYLLIS VILLE,2,5416.666666666667,950.0
AMARYLLIS VILLE,3,7033.333333333333,1383.3333333333333
AMBER 45,2,5087.5,675.0
AMBER 45,4,10000.0,1750.0
AMBER RESIDENCES,2,6175.0,1150.0
AMBER RESIDENCES,3,7600.0,1750.0
AMBER SKYE,3,7800.0,1350.0
AMPAS APARTMENT,3,5200.0,1250.0
ANGULLIA PARK RESIDENCES @ ORCHARD,2,6400.0,950.0
ANGULLIA PARK RESIDENCES @ ORCHARD,3,8000.0,1350.0
AQUARIUS BY THE PARK,2,3316.6666666666665,850.0
AQUARIUS BY THE PARK,3,4300.0,1330.0
ARCHIPELAGO,1,2940.0,590.0
ARCHIPELAGO,2,4057.1428571428573,878.5714285714286
ARCHIPELAGO,3,5200.0,1325.0
ARCHIPELAGO,4,5800.0,1650.0
ARDMORE II,4,15100.0,2050.0
ARDMORE PARK,4,22075.0,2862.5
ARDMORE RESIDENCE,4,34500.0,>3000
ARDMORE THREE,3,14500.0,1750.0
ARTHUR 118,2,5200.0,1750.0
ARTRA,2,6000.0,750.0
ARTRA,3,8025.0,1175.0
ASCENTIA SKY,2,6466.666666666667,1000.0
ASCENTIA SKY,3,8133.333333333333,1450.0
ASPEN HEIGHTS,2,5280.0,1050.0
ASPEN HEIGHTS,3,6850.0,1435.7142857142858
ASPEN HEIGHTS,4,7780.0,1550.0
ASPEN HEIGHTS,5,10900.0,>3000
ASPEN LOFT,3,8000.0,2350.0
ASTON MANSIONS,2,3000.0,1050.0
ASTON MANSIONS,3,5200.0,1250.0
ASTOR GREEN,2,4000.0,1050.0
ASTOR GREEN,3,6000.0,1550.0
ASTORIA PARK,2,4200.0,950.0
ASTORIA PARK,3,4675.0,1150.0
ATHENA VILLE,2,2950.0,950.0
ATHENA VILLE,3,3300.0,1150.0
ATRIUM RESIDENCES,2,3200.0,850.0
ATRIUM RESIDENCES,3,5000.0,1370.0
AURA 83,2,3100.0,750.0
AUSTVILLE RESIDENCES,2,3250.0,850.0
AVA TOWERS,3,2666.6666666666665,1250.0
AVALON,2,4483.333333333333,1183.3333333333333
AVALON,3,8400.0,1850.0
AVANT RESIDENCES,2,3500.0,550.0
AVENUE SOUTH RESIDENCE,1,3852.5,550.0
AVENUE SOUTH RESIDENCE,2,4411.111111111111,661.1111111111111
AVILA GARDENS,2,3200.0,850.0
AVILA GARDENS,3,4050.0,1300.0
AVON PARK,3,5347.0,1250.0
AXIS @ SIGLAP,2,4500.0,850.0
AZALEA PARK CONDOMINIUM,3,3806.25,1225.0
BALESTIER PLAZA,3,3600.0,1350.0
BALESTIER REGENCY,3,3600.0,1450.0
BALLOTA PARK CONDOMINIUM,2,3250.0,1050.0
BALLOTA PARK CONDOMINIUM,3,3800.0,1350.0
BALMORAL 8,3,10300.0,2950.0
BALMORAL HILLS,4,9600.0,1850.0
BALMORAL PLACE,2,4750.0,900.0
BALMORAL PLAZA,3,7450.0,2300.0
BALMORAL RESIDENCES,3,8700.0,1750.0
BALMORAL TOWER,4,8500.0,2450.0
BALMY COURT,3,5300.0,1150.0
BARTLEY RESIDENCES,1,3250.0,450.0
BARTLEY RESIDENCES,2,4333.333333333333,833.3333333333334
BARTLEY RESIDENCES,3,4491.666666666667,1050.0
BARTLEY RIDGE,1,3090.0,450.0
BARTLEY RIDGE,2,3816.6666666666665,766.6666666666666
BARTLEY RIDGE,3,5175.0,1075.0
BAYOU RESIDENCE,3,3950.0,950.0
BAYSHORE PARK,1,3350.0,650.0
BAYSHORE PARK,2,3803.5714285714284,950.0
BAYSHORE PARK,3,4680.0,1170.0
BAYSHORE PARK,4,7120.0,2230.0
BAYVILLE CONDOMINIUM,3,4050.0,1200.0
BAYWATER,3,5800.0,1250.0
BAYWATER,4,6300.0,1550.0
BEACON HEIGHTS,1,3150.0,650.0
BEACON HEIGHTS,2,3850.0,850.0
BEAUFORT ON NASSIM,2,8050.0,1350.0
BEAUTY WORLD PLAZA,2,4500.0,1050.0
BEAVERTON COURT,3,6700.0,2050.0
BEDOK COURT,3,6000.0,2450.0
BEDOK RESIDENCES,1,3583.3333333333335,583.3333333333334
BEDOK RESIDENCES,2,4571.428571428572,864.2857142857143
BEDOK RESIDENCES,3,6366.666666666667,1216.6666666666667
BELLA CASITA,1,2800.0,550.0
BELLA CASITA,2,4000.0,950.0
BELLE VUE RESIDENCES,2,9100.0,1350.0
BELLE VUE RESIDENCES,3,11625.0,2287.5
BELLE VUE RESIDENCES,4,14500.0,2250.0
BELMOND GREEN,3,6250.0,1300.0
BELMONDO VIEW,3,1800.0,1350.0
BIJOU,1,3450.0,650.0
BIRMINGHAM MANSIONS,3,4800.0,1050.0
BISHAN 8,2,4700.0,950.0
BISHAN 8,3,4750.0,1150.0
BISHAN LOFT,3,5800.0,1350.0
BISHAN PARK CONDOMINIUM,3,4900.0,1350.0
BLISS@KOVAN,1,2775.0,550.0
BLISS@KOVAN,2,3662.5,875.0
BLISS@KOVAN,3,4825.0,1150.0
BLISSFUL VIEW,3,6000.0,1550.0
BLOSSOM RESIDENCES,3,5300.0,1450.0
BLOSSOMS @ WOODLEIGH,2,4350.0,1050.0
BLOSSOMS @ WOODLEIGH,3,5825.0,1250.0
BLOSSOMS @ WOODLEIGH,4,7600.0,1450.0
BLUE HORIZON,2,4342.857142857143,950.0
BLUE HORIZON,3,5731.578947368421,1171.0526315789473
BLUWATERS,3,3000.0,1150.0
BLUWATERS 2,2,3050.0,850.0
BOATHOUSE RESIDENCES,1,3000.0,650.0
BOATHOUSE RESIDENCES,2,3200.0,750.0
BOATHOUSE RESIDENCES,3,4000.0,850.0
BOONVIEW,3,4800.0,1250.0
BOTANIC GARDENS MANSION,3,6320.0,1650.0
BOTANIC GARDENS VIEW,3,5530.0,1410.0
BOTANIC LODGE,3,12000.0,2150.0
BOTANIQUE AT BARTLEY,1,3160.0,470.0
BOTANIQUE AT BARTLEY,2,4060.0,690.0
BOTANIQUE AT BARTLEY,3,4983.333333333333,1066.6666666666667
BOTANNIA,2,4775.0,900.0
BOTANNIA,3,6062.5,1275.0
BOTANNIA,4,6846.0,1770.0
BOULEVARD 88,2,11000.0,1350.0
BOULEVARD 88,4,28000.0,2750.0
BOULEVARD VUE,4,27000.0,>3000
BUCKLEY 18,3,7800.0,1550.0
BUCKLEY CLASSIQUE,2,6300.0,1050.0
BULLION PARK,2,3050.0,850.0
BULLION PARK,3,3200.0,1250.0
BURLINGTON SQUARE,1,4200.0,650.0
BURLINGTON SQUARE,2,4433.333333333333,883.3333333333334
BURLINGTON SQUARE,3,6500.0,1150.0
BURLINGTON SQUARE,4,10000.0,>3000
BUTTERWORTH 8,2,4700.0,1050.0
BUTTERWORTH 8,3,5200.0,1350.0
BUTTERWORTH VIEW,3,4850.0,1250.0
CAIRNHILL CREST,2,6600.0,1250.0
CAIRNHILL CREST,3,10800.0,1750.0
CAIRNHILL NINE,1,6248.0,710.0
CAIRNHILL NINE,2,8140.0,1050.0
CAIRNHILL NINE,4,13000.0,1550.0
CAIRNHILL PLAZA,2,8650.0,2250.0
CAIRNHILL PLAZA,3,9000.0,2850.0
CAIRNHILL RESIDENCES,2,6000.0,1116.6666666666667
CAIRNHILL RESIDENCES,3,7250.0,1175.0
CALARASI,3,3950.0,1200.0
CAMBIO SUITES,3,3500.0,850.0
CAMBRIDGE VILLAGE,1,2000.0,450.0
CAMELOT BY-THE-WATER,4,13333.333333333334,2650.0
CANBERRA RESIDENCES,1,2600.0,650.0
CANBERRA RESIDENCES,3,4466.666666666667,1150.0
CANNE VILLE,3,4500.0,1550.0
CAPE ROYALE,3,11525.0,1975.0
CAPE ROYALE,4,21333.333333333332,2850.0
CARABELLE,2,4533.333333333333,883.3333333333334
CARABELLE,3,5175.0,1275.0
CARDIFF RESIDENCE,1,2762.5,400.0
CARDIFF RESIDENCE,2,3500.0,1250.0
CARIBBEAN AT KEPPEL BAY,2,5570.0,930.0
CARIBBEAN AT KEPPEL BAY,3,7975.0,1418.75
CARIBBEAN AT KEPPEL BAY,4,13000.0,2216.6666666666665
CARISSA PARK CONDOMINIUM,2,3950.0,1200.0
CARISSA PARK CONDOMINIUM,3,3850.0,1250.0
CARISSA PARK CONDOMINIUM,4,4500.0,1450.0
CASA AERATA,1,2600.0,400.0
CASA AERATA,2,3287.5,575.0
CASA CAIRNHILL,3,6293.5,1550.0
CASA CAMBIO,1,2950.0,475.0
CASA CAMBIO,2,3775.0,700.0
CASA EMERALD,3,4500.0,1150.0
CASA ESPERANZA,2,5000.0,1150.0
CASA FORTUNA,1,3150.0,550.0
CASA MERAH,2,4250.0,950.0
CASA MERAH,3,5425.0,1300.0
CASA MERAH,4,6500.0,1550.0
CASA MEYA,2,3800.0,850.0
CASA PASIR RIS,3,3500.0,1150.0
CASA ROSA,3,3800.0,1150.0
CASA SARINA,3,4000.0,1350.0
CASABELLA,4,9100.0,1900.0
CASABLANCA,2,3800.0,950.0
CASABLANCA,3,4133.333333333333,1150.0
CASHEW HEIGHTS CONDOMINIUM,3,4611.111111111111,1516.6666666666667
CASHEW PARK CONDOMINIUM,3,4250.0,1250.0
CASPIAN,2,4600.0,983.3333333333334
CASPIAN,3,5437.5,1287.5
CASPIAN,4,6250.0,1600.0
CASSIA VIEW,3,5400.0,1250.0
CASTLE GREEN,2,3850.0,1016.6666666666666
CASTLE GREEN,3,4450.0,1200.0
CASUARINA COVE,2,5200.0,1450.0
CAVAN SUITES,1,3000.0,350.0
CAVENAGH FORTUNA,1,3400.0,600.0
CAVENAGH FORTUNA,3,5200.0,1450.0
CAVENAGH GARDENS,3,4716.666666666667,1283.3333333333333
CAVENAGH LODGE,3,5400.0,1650.0
CAVENDISH PARK,2,3833.3333333333335,950.0
CAVENDISH PARK,3,5000.0,1300.0
CELESTIA,2,4700.0,1750.0
CENTENNIA SUITES,2,6825.0,1250.0
CENTENNIA SUITES,3,10062.5,1825.0
CENTENNIA SUITES,4,12400.0,2250.0
CENTRA HEIGHTS,1,2900.0,450.0
CENTRA RESIDENCE,1,2900.0,433.3333333333333
CENTRA SUITES,1,2975.0,450.0
CENTRAL GREEN CONDOMINIUM,2,4280.0,870.0
CENTRAL GREEN CONDOMINIUM,3,5860.0,1250.0
CENTRAL GREEN CONDOMINIUM,4,7550.0,1800.0
CENTRAL GROVE,2,5000.0,1050.0
CENTRAL GROVE,3,4950.0,1250.0
CENTRAL IMPERIAL,2,3650.0,600.0
CENTRAL IMPERIAL,3,3500.0,750.0
CENTRO MANSIONS,3,4300.0,1350.0
CENTRO RESIDENCES,2,4400.0,850.0
CENTRO RESIDENCES,3,5059.333333333333,1150.0
CENTURY MANSIONS,3,3100.0,1000.0
CEYLON RESIDENCE,3,4800.0,1150.0
CHANGI COURT,2,3700.0,900.0
CHANGI COURT,3,4125.0,1125.0
CHANGI GREEN,2,3466.6666666666665,950.0
CHANGI GREEN,3,3825.0,1275.0
CHANGI RISE CONDOMINIUM,4,4600.0,1450.0
CHANTILLY RISE,3,4000.0,1450.0
CHARLESTON,3,6000.0,1250.0
CHATEAU LE FAME,2,4398.0,850.0
CHELSEA GARDENS,4,9500.0,1950.0
CHERRYHILL,2,3325.0,950.0
CHESTERVALE,3,3700.0,1450.0
CHESTNUT VILLE,3,5550.0,1500.0
CHILTERN PARK,2,3700.0,950.0
CHILTERN PARK,3,5140.0,1430.0
CHNG MANSIONS,3,4500.0,1750.0
CHOON KIM HOUSE,3,3000.0,1050.0
CHOON MOEY MANSIONS,3,2300.0,1250.0
CHUAN PARK,2,3492.8571428571427,1078.5714285714287
CITIGATE RESIDENCE,2,3300.0,650.0
CITY EDGE,2,5000.0,850.0
CITY GATE,1,3625.0,450.0
CITY GATE,2,4087.5,700.0
CITY GATE,3,4300.0,950.0
CITY PLAZA,2,3850.0,950.0
CITY SQUARE RESIDENCES,1,3750.0,550.0
CITY SQUARE RESIDENCES,2,4875.0,850.0
CITY SQUARE RESIDENCES,3,5918.75,1293.75
CITY SQUARE RESIDENCES,4,6000.0,1450.0
CITY STUDIOS,1,2850.0,450.0
CITYLIFE@TAMPINES,2,4100.0,750.0
CITYLIFE@TAMPINES,3,3900.0,1150.0
CITYLIFE@TAMPINES,4,7200.0,1850.0
CITYLIGHTS,1,4015.0,610.0
CITYLIGHTS,2,5012.5,925.0
CITYLIGHTS,3,5600.0,1350.0
CITYSCAPE @FARRER PARK,2,4438.9,1020.0
CITYSCAPE @FARRER PARK,3,5650.0,1350.0
CITYVISTA RESIDENCES,4,13500.0,2850.0
CLEMENTI PARK,2,3700.0,1275.0
CLEMENTI PARK,3,5700.0,1733.3333333333333
CLEMENTIWOODS CONDOMINIUM,1,3050.0,650.0
CLEMENTIWOODS CONDOMINIUM,2,5766.666666666667,1050.0
CLEMENTIWOODS CONDOMINIUM,3,5800.0,1350.0
CLEMENTIWOODS CONDOMINIUM,4,9175.0,2250.0
CLIVEDEN AT GRANGE,3,12100.0,2150.0
CLIVEDEN AT GRANGE,4,16800.0,2850.0
CLOVER BY THE PARK,3,5983.25,1325.0
CLOVER BY THE PARK,4,7800.0,1750.0
CLYDES RESIDENCE,2,4350.0,1050.0
COASTAL BREEZE RESIDENCES,3,3800.0,1150.0
COASTARINA,3,4625.0,850.0
COCO PALMS,1,3280.0,450.0
COCO PALMS,2,3859.090909090909,777.2727272727273
COCO PALMS,3,4430.0,990.0
COCO PALMS,4,6450.0,1250.0
COMMONWEALTH TOWERS,1,3703.3333333333335,450.0
COMMONWEALTH TOWERS,2,5150.0,712.5
COMMONWEALTH TOWERS,3,6450.0,1000.0
COMPASS HEIGHTS,1,3200.0,650.0
COMPASS HEIGHTS,2,3900.0,1166.6666666666667
COMPASS HEIGHTS,3,4400.0,1316.6666666666667
COMPASS HEIGHTS,4,6000.0,1550.0
CONCOURSE SKYLINE,1,5810.0,950.0
CONCOURSE SKYLINE,2,8200.0,1450.0
CORALIS,2,4400.0,850.0
CORALS AT KEPPEL BAY,1,4400.0,550.0
CORALS AT KEPPEL BAY,2,5700.0,850.0
CORALS AT KEPPEL BAY,3,8466.666666666666,1383.3333333333333
CORONATION GROVE,2,7000.0,1950.0
COSMO,1,2700.0,350.0
COSTA DEL SOL,2,3800.0,950.0
COSTA DEL SOL,3,5984.615384615385,1326.923076923077
COSTA DEL SOL,4,6975.0,1475.0
COSTA RHU,2,5466.666666666667,1283.3333333333333
COSTA RHU,3,8700.0,1943.75
COSTA RHU,4,10675.0,2150.0
COSY LODGE,3,5300.0,1250.0
COTE D'AZUR,1,4033.3333333333335,883.3333333333334
COTE D'AZUR,2,5083.333333333333,1216.6666666666667
COTE D'AZUR,3,6150.0,1350.0
COUNTRY GRANDEUR,3,5350.0,1450.0
COUNTRY PARK CONDOMINIUM,2,4133.333333333333,1083.3333333333333
COUNTRY PARK CONDOMINIUM,3,5000.0,1550.0
CRADELS,1,3137.5,475.0
CRAIG PLACE,1,3700.0,550.0
CRAIG PLACE,2,4600.0,800.0
CRESCENDO PARK,3,4700.0,1450.0
CRYSTAL LODGE,3,3300.0,1150.0
CRYSTAL RHU,3,4800.0,1250.0
CUBE 8,1,3300.0,550.0
CUBE 8,2,4216.666666666667,916.6666666666666
CUBE 8,3,7200.0,1450.0
CUSCADEN RESIDENCES,2,8300.0,1450.0
CYAN,1,3866.6666666666665,650.0
CYAN,2,6160.0,1050.0
CYAN,3,8175.0,1475.0
CYAN,4,11000.0,2050.0
D' CASITA,2,3900.0,850.0
D' CASITA,3,4200.0,1150.0
D' IXORAS,2,4200.0,850.0
D'CAMBRIDGE,2,3125.0,750.0
D'ECOSIA,1,3500.0,550.0
D'GALLERY,1,3300.0,650.0
D'GALLERY,3,3900.0,1050.0
D'HIRO@HILLSIDE,3,3800.0,1150.0
D'LEEDON,1,4054.5454545454545,650.0
D'LEEDON,2,5077.777777777777,838.8888888888889
D'LEEDON,3,7578.571428571428,1402.3809523809523
D'LEEDON,4,12909.09090909091,2231.818181818182
D'LOTUS,2,3500.0,850.0
D'MIRA,3,4933.333333333333,1250.0
D'MIRA,4,5700.0,1550.0
D'NEST,1,3040.0,470.0
D'NEST,2,3680.0,750.0
D'NEST,3,4025.0,950.0
D'NEST,4,5166.666666666667,1316.6666666666667
D'PAVILION,2,4000.0,950.0
D'PAVILION,4,6000.0,1650.0
D'WEAVE,2,2966.6666666666665,550.0
D'WEAVE,3,4266.666666666667,1050.0
D'ZIRE,2,2800.0,750.0
DAHLIA PARK CONDOMINIUM,2,3350.0,1050.0
DAHLIA PARK CONDOMINIUM,3,3900.0,1250.0
DAINTREE RESIDENCE,2,4300.0,700.0
DAINTREE RESIDENCE,3,5600.0,1050.0
DAKOTA RESIDENCES,2,5575.0,1050.0
DAKOTA RESIDENCES,3,6950.0,1366.6666666666667
DAKOTA RESIDENCES,4,9800.0,1850.0
DAWN VILLE,3,3800.0,1200.0
DE CASALLE,3,4100.0,1150.0
DE LENTE,3,5500.0,950.0
DE PARADISO,2,4600.0,1150.0
DE ROYALE,3,4033.3333333333335,1250.0
DEVONSHIRE 12,1,3600.0,450.0
DEVONSHIRE BUILDING,1,3500.0,1150.0
DEVONSHIRE RESIDENCES,1,4377.714285714285,507.14285714285717
DLV.,2,5900.0,1450.0
DOMAIN 21,2,5200.0,900.0
DOMAIN 21,4,10700.0,1850.0
DOMUS,1,3350.0,450.0
DOMUS,2,4600.0,1050.0
DORMER PARK,4,9500.0,2450.0
DORSETT RESIDENCES,1,3933.3333333333335,450.0
DORSETT RESIDENCES,2,5800.0,1050.0
DOUBLE BAY RESIDENCES,2,3950.0,950.0
DOUBLE BAY RESIDENCES,3,5110.0,1307.142857142857
DOVER PARKVIEW,2,4277.777777777777,972.2222222222222
DOVER PARKVIEW,3,5010.0,1330.0
DRAYCOTT EIGHT,4,20750.0,2850.0
DUCHESS CREST,3,6500.0,1350.0
DUCHESS CREST,4,9100.0,1800.0
DUCHESS MANOR,3,5350.0,1050.0
DUNMAN PLACE,3,5000.0,1250.0
DUO RESIDENCES,1,5283.333333333333,633.3333333333334
DUO RESIDENCES,2,7107.142857142857,964.2857142857143
DUO RESIDENCES,3,11000.0,1600.0
E MAISON,2,4300.0,950.0
E MAISON,3,4200.0,1250.0
E-SPACE,2,1800.0,850.0
EAST COAST RESIDENCES,3,4475.0,1050.0
EAST GROVE,3,3800.0,950.0
EAST MEADOWS,3,4500.0,1225.0
EAST VIEW,3,4875.0,1200.0
EAST VIEW 18,3,4200.0,1150.0
EAST VILLAGE,2,3400.0,750.0
EASTERN LAGOON,1,2800.0,683.3333333333334
EASTERN LAGOON,2,3884.0,907.1428571428571
EASTERN RESIDENCE,3,3500.0,1050.0
EASTPOINT GREEN,2,3520.0,1030.0
EASTPOINT GREEN,3,4237.5,1150.0
EASTVALE,3,4000.0,1100.0
EASTWOOD GREEN,2,4000.0,1050.0
EASTWOOD REGENCY,1,2400.0,550.0
ECHELON,1,4000.0,450.0
ECHELON,2,5150.625,750.0
ECHELON,3,7450.0,1116.6666666666667
ECO,1,3253.3333333333335,603.3333333333334
ECO,2,4260.0,850.0
ECO,3,5625.0,1250.0
ECO SANCTUARY,1,2600.0,550.0
ECO SANCTUARY,2,3533.3333333333335,650.0
ECO SANCTUARY,3,5050.0,1016.6666666666666
EDELWEISS PARK CONDOMINIUM,2,3600.0,975.0
EDELWEISS PARK CONDOMINIUM,3,4300.0,1250.0
EDEN CREST,3,3400.0,950.0
EDEN VIEW,1,2800.0,650.0
EDEN VIEW,3,4150.0,1050.0
EDENZ LOFT,1,2650.0,450.0
EDENZ SUITES,1,2766.6666666666665,450.0
EIGHT COURTYARDS,2,3471.4285714285716,864.2857142857143
EIGHT COURTYARDS,3,3900.0,1064.2857142857142
EIGHT RIVERSUITES,1,3455.5555555555557,450.0
EIGHT RIVERSUITES,2,4027.777777777778,672.2222222222222
EIGHT RIVERSUITES,3,4933.333333333333,983.3333333333334
ELIZABETH HEIGHTS,4,8400.0,2516.6666666666665
ELIZABETH TOWER,3,6500.0,2050.0
ELLIOT AT THE EAST COAST,3,4800.0,1350.0
