project,noOfBedRoom,rental_rent,mean_areaSqft
THE MAYFAIR,1,3350.0,650.0
THE MAYFAIR,3,4904.75,1212.5
THE MAYLEA,3,6400.0,1750.0
THE MEDLEY,4,5500.0,1350.0
THE MERASAGA,2,5000.0,950.0
THE MERASAGA,3,7466.666666666667,1350.0
THE MERCURY,2,5300.0,1050.0
THE MERLOT,1,2800.0,550.0
THE METROPOLITAN CONDOMINIUM,2,4600.0,750.0
THE METROPOLITAN CONDOMINIUM,3,7366.666666666667,1483.3333333333333
THE METROPOLITAN CONDOMINIUM,4,10100.0,2150.0
THE METZ,1,4550.0,550.0
THE METZ,2,7000.0,1050.0
THE MEYERISE,2,5233.333333333333,850.0
THE MEYERISE,3,6933.333333333333,1350.0
THE MEYERISE,4,7000.0,2050.0
THE MEZZO,1,3100.0,550.0
THE MIDAS,3,3800.0,1350.0
THE MILTONIA RESIDENCES,1,2850.0,550.0
THE MILTONIA RESIDENCES,2,3600.0,910.0
THE MILTONIA RESIDENCES,3,4433.333333333333,1316.6666666666667
THE MINTON,2,4275.0,983.3333333333334
THE MINTON,3,5016.666666666667,1316.6666666666667
THE MKZ,3,4900.0,650.0
THE MONTAGE,1,3800.0,650.0
THE MONTAGE,2,4250.0,950.0
THE MONTANA,1,3501.0,700.0
THE MONTANA,3,5750.0,1150.0
THE MORNINGSIDE,3,7650.0,1750.0
THE NASSIM,4,60000.0,>3000
THE NAUTICAL,2,3400.0,750.0
THE NAUTICAL,3,3650.0,983.3333333333334
THE NEXUS,2,4700.0,950.0
THE NEXUS,3,6500.0,1350.0
THE NEXUS,4,6750.0,1500.0
THE OCEANFRONT @ SENTOSA COVE,2,7575.0,1300.0
THE OCEANFRONT @ SENTOSA COVE,3,10250.0,1991.6666666666667
THE OCEANFRONT @ SENTOSA COVE,4,15000.0,2050.0
THE OLIV,4,19600.0,>3000
THE ORANGE GROVE,3,15000.0,2675.0
THE ORCHARD RESIDENCES,3,17900.0,1970.0
THE ORIENT,1,2800.0,350.0
THE ORIENT,2,4150.0,683.3333333333334
THE OXLEY,2,4000.0,650.0
THE PALETTE,1,2890.0,510.0
THE PALETTE,2,3840.0,810.0
THE PALETTE,3,4600.0,1133.3333333333333
THE PANORAMA,1,3000.0,450.0
THE PANORAMA,2,3962.5,725.0
THE PANORAMA,3,5333.333333333333,1050.0
THE PANORAMA,4,7800.0,1350.0
THE PARC CONDOMINIUM,1,3300.0,650.0
THE PARC CONDOMINIUM,2,4650.0,950.0
THE PARC CONDOMINIUM,3,6169.2307692307695,1303.8461538461538
THE PARC CONDOMINIUM,4,7025.0,1475.0
THE PATERSON,2,6500.0,1350.0
THE PATERSON,3,8800.0,1450.0
THE PATERSON EDGE,2,5750.0,1050.0
THE PEAK @ CAIRNHILL I,1,3700.0,550.0
THE PEAK @ CAIRNHILL II,2,4900.0,850.0
THE PEAK@BALMEG,2,4800.0,950.0
THE PEAK@BALMEG,3,6800.0,1750.0
THE PEAK@BALMEG,4,8500.0,1950.0
THE PEARL @ MOUNT FABER,3,6600.0,1350.0
THE PETALS,3,4166.666666666667,1250.0
THE PETALS,4,5700.0,1650.0
THE PIER AT ROBERTSON,1,5000.0,650.0
THE PIER AT ROBERTSON,2,6000.0,1050.0
THE PLAZA,1,4200.0,750.0
THE PLAZA,2,4100.0,850.0
THE POIZ RESIDENCES,1,3381.818181818182,477.27272727272725
THE POIZ RESIDENCES,2,4274.75,650.0
THE POIZ RESIDENCES,3,6850.0,1100.0
THE POIZ RESIDENCES,4,9000.0,1450.0
THE PRINCETON,3,3200.0,1050.0
THE PROMENADE@PELIKAT,1,2875.0,450.0
THE PROMENADE@PELIKAT,2,3200.0,1000.0
THE PROMENADE@PELIKAT,3,4000.0,950.0
THE QUAYSIDE,3,6900.0,1350.0
THE QUINN,2,3866.6666666666665,750.0
THE RAINTREE,2,3900.0,950.0
THE RAINTREE,3,5162.5,1337.5
THE RAINTREE,4,7400.0,1550.0
THE REGALIA,3,5000.0,1250.0
THE REGENCY AT TIONG BAHRU,2,6000.0,950.0
THE REGENCY AT TIONG BAHRU,3,7050.0,1250.0
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,2,8050.0,1250.0
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,3,14800.0,2550.0
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,4,13485.714285714286,2342.8571428571427
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,5,24000.0,>3000
THE RICHMOND,3,4700.0,1250.0
THE RISE @ OXLEY - RESIDENCES,1,3750.0,450.0
THE RISE @ OXLEY - RESIDENCES,2,5049.75,675.0
THE RITZ-CARLTON RESIDENCES SINGAPORE CAIRNHILL,3,20000.0,2850.0
THE RIVERINE BY THE PARK,2,4025.0,950.0
THE RIVERINE BY THE PARK,3,6000.0,1350.0
THE RIVERSIDE PIAZZA,2,3850.0,1050.0
THE RIVERSIDE PIAZZA,3,5000.0,1250.0
THE RIVERVALE,3,4166.666666666667,1283.3333333333333
THE ROCHESTER RESIDENCES,1,4750.0,900.0
THE ROCHESTER RESIDENCES,2,7387.5,1300.0
THE ROCHESTER RESIDENCES,3,9000.0,1850.0
THE SAIL @ MARINA BAY,1,4602.8,630.0
THE SAIL @ MARINA BAY,2,6655.2,900.0
THE SAIL @ MARINA BAY,3,8820.0,1490.0
THE SAIL @ MARINA BAY,4,20650.0,2325.0
THE SANCTUARY @ GEYLANG,1,2900.0,650.0
THE SANTORINI,1,3025.0,525.0
THE SANTORINI,2,3700.0,750.0
THE SANTORINI,3,3700.0,1150.0
THE SANTORINI,4,5900.0,1250.0
THE SCALA,1,3275.0,475.0
THE SCALA,2,4540.0,880.0
THE SCALA,3,5766.666666666667,1050.0
THE SCALA,4,7500.0,1250.0
THE SCOTTS TOWER,1,4730.0,650.0
THE SCOTTS TOWER,2,5600.0,850.0
THE SEA VIEW,1,4000.0,550.0
THE SEA VIEW,3,7088.888888888889,1361.111111111111
THE SEA VIEW,4,8037.5,1625.0
THE SEAFRONT ON MEYER,3,7600.0,1725.0
THE SEAFRONT ON MEYER,4,9460.0,2190.0
THE SEAWIND,1,3700.0,750.0
THE SEAWIND,3,6400.0,1150.0
THE SEAWIND,4,10666.666666666666,>3000
THE SENSORIA,3,3800.0,1150.0
THE SERENADE @ HOLLAND,4,8100.0,1950.0
THE SERENNIA,3,5750.0,1700.0
THE SERENNO,1,3050.0,450.0
THE SHELFORD,3,6150.0,1350.0
THE SHELFORD,4,9000.0,2450.0
THE SHORE RESIDENCES,1,3866.6666666666665,550.0
THE SHORE RESIDENCES,2,5342.857142857143,850.0
THE SHORE RESIDENCES,3,6775.0,1225.0
THE SIENA,1,4050.0,600.0
THE SIENA,2,4700.0,750.0
THE SILVER FIR,1,3100.0,550.0
THE SIXTH AVENUE RESIDENCES,3,7657.142857142857,1935.7142857142858
THE SKYWOODS,1,3200.0,550.0
THE SKYWOODS,2,3800.0,650.0
THE SKYWOODS,3,4500.0,950.0
THE SOLITAIRE,3,6600.0,1550.0
THE SORRENTO,1,3350.0,550.0
THE SORRENTO,2,4800.0,900.0
THE SOUND,2,4400.0,900.0
THE SOUND,4,6500.0,1550.0
THE SPECTRUM,3,4633.333333333333,1150.0
THE SPRINGBLOOM,2,4650.0,1150.0
THE SPRINGBLOOM,3,5500.0,1550.0
THE STELLAR,3,5866.666666666667,1405.5555555555557
THE STERLING,1,3300.0,1150.0
THE STERLING,2,5800.0,1050.0
THE STERLING,3,5233.333333333333,1466.6666666666667
THE STERLING,4,6200.0,1950.0
THE SUITES AT CENTRAL,1,5700.0,650.0
THE SUITES AT CENTRAL,3,8633.333333333334,1483.3333333333333
THE SUMMIT,2,4200.0,1150.0
THE SUMMIT,3,4466.666666666667,1316.6666666666667
THE SUNNY SPRING,3,4325.0,1137.5
THE SUNSHINE,3,4466.666666666667,1250.0
THE TAMPINES TRILLIANT,3,4500.0,983.3333333333334
THE TANAMERA,2,3500.0,950.0
THE TANAMERA,3,4700.0,1416.6666666666667
THE TAPESTRY,1,2893.75,450.0
THE TAPESTRY,2,3810.0,650.0
THE TAPESTRY,3,4800.0,950.0
THE TATE RESIDENCES,3,18000.0,2150.0
THE TATE RESIDENCES,4,20500.0,>3000
THE TEMBUSU,1,3250.0,550.0
THE TEMBUSU,2,3800.0,750.0
THE TEMBUSU,3,4000.0,1250.0
THE TEMBUSU,4,5800.0,1350.0
THE TENNERY,1,3125.0,650.0
THE TENNERY,2,3962.5,875.0
THE TERRACE,3,3900.0,1050.0
THE TERRACE,4,5250.0,1350.0
THE TESSARINA,2,4450.0,950.0
THE TESSARINA,3,7500.0,1800.0
THE TESSARINA,4,8500.0,1750.0
THE THOMSON DUPLEX,4,7500.0,2150.0
THE TIER,1,3000.0,450.0
THE TIER,2,3800.0,600.0
THE TOPIARY,3,4300.0,1050.0
THE TOPIARY,4,4200.0,1350.0
THE TRE VER,1,3450.0,466.6666666666667
THE TRE VER,2,3931.818181818182,659.0909090909091
THE TRE VER,3,6200.0,1050.0
THE TREELINE,2,3600.0,750.0
THE TRESOR,4,7800.0,1550.0
THE TREVOSE,3,6200.0,1350.0
THE TRILINQ,1,3425.0,550.0
THE TRILINQ,2,4420.0,750.0
THE TRILINQ,3,5800.0,1007.1428571428571
THE TRILINQ,4,6900.0,1450.0
THE TRILLIUM,3,12000.0,1750.0
THE TRILLIUM,4,9500.0,2250.0
THE TRILLIUM,5,15500.0,2350.0
THE TRIZON,2,5300.0,1100.0
THE TRIZON,3,7950.0,1821.4285714285713
THE TRIZON,4,10666.666666666666,2183.3333333333335
THE TROPICA,3,4500.0,1250.0
THE TRUMPS,1,3000.0,650.0
THE TWINS,4,7250.0,2250.0
THE VALES,4,4600.0,1250.0
THE VANDERLINT,2,4000.0,750.0
THE VENUE RESIDENCES,1,3450.0,500.0
THE VENUE RESIDENCES,2,4150.0,850.0
THE VENUE RESIDENCES,3,6000.0,1150.0
THE VERANDAH RESIDENCES,1,3333.3333333333335,516.6666666666666
THE VERANDAH RESIDENCES,2,4500.0,650.0
THE VERANDAH RESIDENCES,3,6250.0,1000.0
THE VERV @ RV,2,6050.0,1150.0
THE VERVE,1,3016.6666666666665,516.6666666666666
THE VERVE,2,4100.0,750.0
THE VIEW @ MEYER,3,8000.0,1650.0
THE VIRIDIAN,1,3525.0,550.0
THE VIRIDIAN,2,4000.0,850.0
THE VISION,2,4425.0,950.0
THE VISION,3,6333.333333333333,1333.3333333333333
THE VISIONAIRE,3,4000.0,983.3333333333334
THE VISIONAIRE,4,5250.0,1150.0
THE WARREN,2,3266.6666666666665,1050.0
THE WARREN,3,4450.0,1250.0
THE WARREN,4,5900.0,1550.0
THE WATER EDGE,1,2825.0,475.0
THE WATERINA,2,4300.0,1125.0
THE WATERINA,3,4650.0,1300.0
THE WATERLINE,3,3300.0,1150.0
THE WHARF RESIDENCE,2,7283.333333333333,1050.0
THE WHARF RESIDENCE,3,8700.0,1450.0
THE WHARF RESIDENCE,4,22000.0,>3000
THE WISTERIA,1,3500.0,550.0
THE WOODGROVE,2,3800.0,850.0
THOMSON 800,3,5412.5,1487.5
THOMSON EURO-ASIA,3,6275.0,1175.0
THOMSON GRAND,2,4233.333333333333,950.0
THOMSON GRAND,3,5566.666666666667,1383.3333333333333
THOMSON GRAND,4,7000.0,1650.0
THOMSON GROVE,3,4425.0,1450.0
THOMSON IMPRESSIONS,1,2878.5714285714284,450.0
THOMSON IMPRESSIONS,2,3800.0,750.0
THOMSON IMPRESSIONS,3,4700.0,1150.0
THOMSON THREE,1,3400.0,450.0
THOMSON THREE,2,3900.0,750.0
THOMSON THREE,3,5325.0,1180.0
THOMSON V TWO,1,2975.0,450.0
THOMSON V TWO,2,3500.0,700.0
THOMSON VIEW CONDOMINIUM,1,3730.0,1350.0
THOMSON VIEW CONDOMINIUM,2,4875.0,2050.0
THREE 11,3,5000.0,1050.0
THREE BALMORAL,3,9000.0,1550.0
THREE BUCKLEY,3,13500.0,2250.0
THREE BUCKLEY,4,9700.0,2350.0
TIARA,2,5200.0,850.0
TIARA,3,7575.0,1325.0
TIARA,4,7500.0,1550.0
TIERRA VUE,2,5000.0,1050.0
TIERRA VUE,3,6233.333333333333,1250.0
TIERRA VUE,4,8000.0,2250.0
TIVOLI GRANDE,2,3600.0,950.0
TOMLINSON HEIGHTS,5,36000.0,>3000
TOP TEN,3,7000.0,1450.0
TORIEVIEW MANSIONS,3,5100.0,1350.0
TRE RESIDENCES,1,3300.0,450.0
TRE RESIDENCES,2,4200.0,650.0
TREASURE LOFT,3,5000.0,950.0
TREASURE ON BALMORAL,4,10925.0,1950.0
TREASURE PLACE,3,4200.0,1350.0
TREASURES @ G20,1,2500.0,450.0
TREASURES@G19,1,2800.0,450.0
TREE HOUSE,2,3600.0,850.0
TREE HOUSE,3,5450.0,1250.0
TREE HOUSE,4,6250.0,1483.3333333333333
TRELLIS TOWERS,3,4550.0,1300.0
TRELLIS TOWERS,4,7200.0,1650.0
TRESALVEO,1,3000.0,550.0
TRESALVEO,2,4275.0,1000.0
TRESALVEO,3,6700.0,1600.0
TREVISTA,1,3350.0,550.0
TREVISTA,2,4212.5,925.0
TREVISTA,3,5460.0,1170.0
TREVISTA,4,7750.0,1750.0
TREVOSE PARK,3,7075.0,1850.0
TREVOSE PARK,4,9940.0,2400.0
TRIBECA,1,3800.0,550.0
TRIBECA,3,7825.0,1550.0
TRIBECA,4,17800.0,>3000
TRILIGHT,3,16150.0,2525.0
TRILIGHT,4,12000.0,2350.0
TRILIVE,1,3000.0,450.0
TRILIVE,2,3566.6666666666665,616.6666666666666
TROPICAL SPRING,3,4400.0,1350.0
TROPICANA CONDOMINIUM,3,4550.0,1650.0
TROPIKA EAST,1,2700.0,450.0
TROPIKA EAST,2,2700.0,750.0
TURQUOISE,3,10875.0,2337.5
TURQUOISE,4,12000.0,2350.0
TWENTYONE ANGULLIA PARK,3,20500.0,2250.0
TWENTYONE ANGULLIA PARK,4,30000.0,2750.0
TWIN FOUNTAINS,3,4700.0,1050.0
TWIN FOUNTAINS,4,5800.0,1350.0
TWIN REGENCY,2,5200.0,950.0
TWIN REGENCY,3,7380.0,1330.0
TWIN VEW,1,3500.0,450.0
TWIN VEW,2,4800.0,780.0
TWIN VEW,3,6480.0,1070.0
TWIN WATERFALLS,3,3600.0,1150.0
UBER 388,1,3500.0,650.0
UBER 388,2,4200.0,950.0
UBER 388,3,5600.0,1550.0
UE SQUARE,1,3800.0,550.0
UE SQUARE,2,5750.0,1150.0
UE SQUARE,3,7733.333333333333,1483.3333333333333
UE SQUARE,4,6500.0,2050.0
UNITED MANSION,3,3850.0,1050.0
UP@ROBERTSON QUAY,1,4500.0,550.0
UPTOWN @ FARRER,2,3966.6666666666665,550.0
URBAN EDGE @ HOLLAND V,2,5150.0,950.0
URBAN LOFTS,1,3300.0,550.0
URBAN RESORT CONDOMINIUM,3,10500.0,2150.0
URBAN RESORT CONDOMINIUM,4,15200.0,2550.0
URBAN SUITES,2,7000.0,1050.0
URBAN SUITES,3,10700.0,1630.0
URBAN SUITES,4,27000.0,>3000
URBAN VISTA,1,2760.0,450.0
URBAN VISTA,2,3187.5,587.5
URBAN VISTA,3,4466.666666666667,850.0
URBANA,2,6500.0,1050.0
URBANA,4,9000.0,1450.0
V ON SHENTON,1,4550.0,635.7142857142857
V ON SHENTON,2,6514.285714285715,1021.4285714285714
V ON SHENTON,3,9550.0,1450.0
VA RESIDENCES,1,2925.0,550.0
VACANZA @ EAST,1,2560.0,500.0
VACANZA @ EAST,2,3350.0,825.0
VACANZA @ EAST,3,4100.0,1050.0
VACANZA @ EAST,4,6050.0,2350.0
VALLEY HOUSE,3,5720.0,1650.0
VALLEY PARK,1,4260.0,790.0
VALLEY PARK,2,6076.923076923077,1273.076923076923
VARSITY PARK CONDOMINIUM,2,5960.0,1290.0
VARSITY PARK CONDOMINIUM,3,6700.0,1537.5
VARSITY PARK CONDOMINIUM,4,8500.0,2350.0
VENEZIO,2,3600.0,1050.0
VENTANA,2,4800.0,950.0
VENTANA,3,4850.0,1450.0
VENTUNO BALMORAL,3,6200.0,1350.0
VERDOR RESIDENCES,2,4188.0,850.0
VERDURE,2,4950.0,1000.0
VERDURE,3,7600.0,1550.0
VERDURE,4,11500.0,2250.0
VERSAILLES,3,4000.0,1250.0
VERSILIA ON HAIG,2,4100.0,1050.0
VERSILIA ON HAIG,3,4975.0,1200.0
VERTIS,2,5750.0,1250.0
VIBES @ EAST COAST,1,2983.3333333333335,416.6666666666667
VIBES @ KOVAN,1,2800.0,350.0
VIBES @ KOVAN,2,3400.0,750.0
VIBES@UPPER SERANGOON,1,2766.6666666666665,450.0
VICTORY HEIGHTS,3,4800.0,1150.0
VIDA,1,3710.0,550.0
VIDA,2,5000.0,850.0
VIENTO,1,3000.0,450.0
VIIO @ BALESTIER,2,3200.0,550.0
VIIO @ BALESTIER,3,5000.0,1050.0
VILLA DE WEST,2,3866.6666666666665,1016.6666666666666
VILLA DE WEST,3,5200.0,1650.0
VILLA DELLE ROSE,3,11918.181818181818,2586.3636363636365
VILLA DES FLORES,3,5500.0,1750.0
VILLA MARINA,2,3666.6666666666665,1283.3333333333333
VILLA MARINA,3,5575.0,1300.0
VILLA MARTIA,2,4500.0,1050.0
VILLAGE @ PASIR PANJANG,2,4260.0,890.0
VILLAGE @ PASIR PANJANG,3,5850.0,1100.0
VILLAGE @ PASIR PANJANG,4,5500.0,1350.0
VILLAGE TOWER,4,9900.0,2650.0
VILLE ROYALE,3,7200.0,1350.0
VISIONCREST,1,4900.0,850.0
VISIONCREST,2,5914.285714285715,1007.1428571428571
VISIONCREST,3,7100.0,1250.0
VISTA RESIDENCES,1,3300.0,650.0
VISTA RESIDENCES,3,5466.666666666667,1150.0
VISTA RESIDENCES,4,5800.0,1350.0
VIVA,2,6650.0,1000.0
VIVA,3,9600.0,1550.0
VIVA,4,11475.0,1900.0
VIVA VISTA,1,3037.5,375.0
VIVA VISTA,2,3900.0,700.0
VIVACE,1,3400.0,350.0
VIVACE,2,4016.6666666666665,583.3333333333334
VIZ AT HOLLAND,1,3200.0,450.0
VIZ AT HOLLAND,3,6500.0,1250.0
VOLARI,2,6200.0,1350.0
VOLARI,4,16000.0,>3000
VUE 8 RESIDENCE,2,3900.0,783.3333333333334
VUE 8 RESIDENCE,3,4700.0,1050.0
VUE 8 RESIDENCE,4,6800.0,1650.0
WALLICH RESIDENCE,1,7600.0,650.0
WALLICH RESIDENCE,2,9400.0,850.0
WALLICH RESIDENCE,3,12000.0,1350.0
WANDERVALE,3,4400.0,1050.0
WARNER COURT,2,5166.666666666667,1216.6666666666667
WATER PLACE,2,4900.0,950.0
WATER PLACE,3,6233.333333333333,1305.5555555555557
WATER PLACE,5,30000.0,>3000
WATERBANK AT DAKOTA,1,3832.5,550.0
WATERBANK AT DAKOTA,3,6160.0,1210.0
WATERBAY,3,4250.0,1050.0
WATERCOLOURS,2,3200.0,750.0
WATERCOLOURS,3,4025.0,950.0
WATERFALL GARDENS,3,8350.0,1850.0
WATERFALL GARDENS,4,10000.0,2550.0
WATERFORD RESIDENCE,3,6700.0,1150.0
WATERFRONT @ FABER,2,3250.0,750.0
WATERFRONT @ FABER,4,5000.0,1250.0
WATERFRONT GOLD,2,4300.0,850.0
WATERFRONT GOLD,3,5350.0,1250.0
WATERFRONT GOLD,4,7000.0,1450.0
WATERFRONT ISLE,1,3425.0,550.0
WATERFRONT ISLE,2,4375.0,975.0
WATERFRONT ISLE,3,5410.0,1210.0
WATERFRONT KEY,2,4200.0,950.0
WATERFRONT KEY,3,5300.0,1225.0
WATERFRONT WAVES,2,3750.0,950.0
WATERFRONT WAVES,3,5033.333333333333,1250.0
WATERMARK ROBERTSON QUAY,2,6200.0,950.0
WATERMARK ROBERTSON QUAY,3,10300.0,1750.0
WATERSCAPE AT CAVENAGH,1,3550.0,550.0
WATERSCAPE AT CAVENAGH,2,5800.0,1100.0
WATERSCAPE AT CAVENAGH,3,7000.0,1250.0
WATERSCAPE AT CAVENAGH,4,6500.0,1550.0
WATERTOWN,1,3273.076923076923,550.0
WATERTOWN,2,4166.666666666667,916.6666666666666
WATERTOWN,3,5700.0,1150.0
WATERTOWN,4,6750.0,1350.0
WATERVIEW,2,3250.0,870.0
WATERVIEW,3,4466.666666666667,1150.0
WATTEN ESTATE CONDOMINIUM,2,6475.0,1800.0
WATTEN HILL,2,7050.0,1700.0
WEST BAY CONDOMINIUM,2,3980.769230769231,896.1538461538462
WEST BAY CONDOMINIUM,3,5575.0,1241.6666666666667
WESTCOVE CONDOMINIUM,2,4750.0,1150.0
WESTCOVE CONDOMINIUM,3,5191.666666666667,1300.0
WESTMERE,3,4720.0,1190.0
WESTPOINT CONDOMINIUM,3,5793.0,1950.0
WESTPOINT CONDOMINIUM,4,7715.0,2450.0
WESTPOINT CONDOMINIUM,5,8185.0,2850.0
WESTWOOD RESIDENCES,3,4800.0,1050.0
WESTWOOD RESIDENCES,4,6100.0,1183.3333333333333
WHARTON VALE,2,4700.0,650.0
WHISTLER GRAND,1,3639.285714285714,485.7142857142857
WHISTLER GRAND,2,4460.0,666.6666666666666
WHISTLER GRAND,3,4700.0,950.0
WHISTLER GRAND,4,6200.0,1250.0
WHITEHAVEN,2,3955.5555555555557,627.7777777777778
WHITEHAVEN,3,4962.5,750.0
WHITEHAVEN,4,6056.25,1012.5
WHITEWATER,3,4350.0,1200.0
WHITEWATER,4,3900.0,1350.0
WILKIE 48,2,4100.0,850.0
WILKIE COURT,3,4500.0,1050.0
WILKIE STUDIO,2,4500.0,750.0
WILKIE STUDIO,3,5600.0,1250.0
WILLYN VILLE,2,3500.0,950.0
WILMER HOUSE,3,7750.0,1850.0
WINDERMERE,3,3900.0,1316.6666666666667
WINDY HEIGHTS,4,5600.0,2450.0
WING FONG MANSIONS/WING FONG COURT,1,4300.0,650.0
WING FONG MANSIONS/WING FONG COURT,2,4100.0,950.0
WING FONG MANSIONS/WING FONG COURT,3,4600.0,1250.0
WOODGROVE CONDOMINIUM,3,5653.846153846154,1650.0
WOODHAVEN,1,2841.6666666666665,616.6666666666666
WOODHAVEN,2,3733.3333333333335,850.0
WOODHAVEN,3,4840.0,1190.0
WOODSVALE,3,4155.555555555556,1272.2222222222222
WOODSVILLE 28,3,6800.0,1350.0
WOOLLERTON PARK,3,9800.0,2350.0
WOOLLERTON PARK,4,11000.0,2750.0
WORTHINGTON,1,3600.0,750.0
YEW MEI GREEN,3,4300.0,1325.0
YGK GARDEN,4,13000.0,>3000
YISHUN EMERALD,2,2700.0,950.0
YONG AN PARK,2,5000.0,1050.0
YONG AN PARK,3,8300.0,2116.6666666666665
YONG AN PARK,4,15250.0,>3000
ZEDGE,1,3450.0,550.0
ZEDGE,2,4150.0,800.0
ZENITH,2,4500.0,750.0
